,0,1,domain
0,Harvard University,World-University-Rankings/Harvard-University.html,www.harvard.edu
1,Stanford University,World-University-Rankings/Stanford-University.html,www.stanford.edu
2,"University of California, Berkeley",World-University-Rankings/University-of-California-Berkeley.html,www.berkeley.edu
3,University of Cambridge,World-University-Rankings/University-of-Cambridge.html,www.cam.ac.uk
4,Massachusetts Institute of Technology (MIT),World-University-Rankings/Massachusetts-Institute-of-Technology-(MIT).html,www.web.mit.edu
5,Princeton University,World-University-Rankings/Princeton-University.html,www.princeton.edu
6,University of Oxford,World-University-Rankings/University-of-Oxford.html,www.ox.ac.uk
7,California Institute of Technology,World-University-Rankings/California-Institute-of-Technology.html,www.caltech.edu
8,Columbia University,World-University-Rankings/Columbia-University.html,www.columbia.edu
9,University of Chicago,World-University-Rankings/University-of-Chicago.html,www.uchicago.edu
10,Yale University,World-University-Rankings/Yale-University.html,www.yale.edu
11,"University of California, Los Angeles",World-University-Rankings/University-of-California-Los-Angeles.html,www.ucla.edu
12,Cornell University,World-University-Rankings/Cornell-University.html,www.cornell.edu
13,"University of California, San Diego",World-University-Rankings/University-of-California-San-Diego.html,www.ucsd.edu
14,University of Washington,World-University-Rankings/University-of-Washington.html,www.washington.edu
15,Johns Hopkins University,World-University-Rankings/Johns-Hopkins-University.html,www.jhu.edu
16,University College London,World-University-Rankings/University-College-London.html,www.ucl.ac.uk
17,University of Pennsylvania,World-University-Rankings/University-of-Pennsylvania.html,www.upenn.edu
18,Swiss Federal Institute of Technology Zurich,World-University-Rankings/Swiss-Federal-Institute-of-Technology-Zurich.html,www.ethz.ch
19,The University of Tokyo,World-University-Rankings/The-University-of-Tokyo.html,www.u-tokyo.ac.jp
20,"University of California, San Francisco",World-University-Rankings/University-of-California-San-Francisco.html,www.ucsf.edu
21,"The Imperial College of Science, Technology and Medicine",World-University-Rankings/The-Imperial-College-of-Science-Technology-and-Medicine.html,www.www3.imperial.ac.uk
22,University of Michigan-Ann Arbor,World-University-Rankings/University-of-Michigan-Ann-Arbor.html,www.umich.edu
23,Washington University in St. Louis,World-University-Rankings/Washington-University-in-St-Louis.html,www.wustl.edu
24,Duke University,World-University-Rankings/Duke-University.html,www.duke.edu
25,Northwestern University,World-University-Rankings/Northwestern-University.html,www.northwestern.edu
26,University of Toronto,World-University-Rankings/University-of-Toronto.html,www.utoronto.ca
27,University of Wisconsin - Madison,World-University-Rankings/University-of-Wisconsin---Madison.html,www.wisc.edu
28,New York University,World-University-Rankings/New-York-University.html,www.nyu.edu
29,University of Copenhagen,World-University-Rankings/University-of-Copenhagen.html,www.ku.dk
30,University of Illinois at Urbana-Champaign,World-University-Rankings/University-of-Illinois-at-Urbana-Champaign.html,www.illinois.edu
31,Kyoto University,World-University-Rankings/Kyoto-University.html,www.kyoto-u.ac.jp
32,"University of Minnesota, Twin Cities",World-University-Rankings/University-of-Minnesota-Twin-Cities.html,www.twin-cities.umn.edu
33,University of British Columbia,World-University-Rankings/University-of-British-Columbia.html,www.ubc.ca
34,The University of Manchester,World-University-Rankings/The-University-of-Manchester.html,www.manchester.ac.uk 
35,University of North Carolina at Chapel Hill,World-University-Rankings/University-of-North-Carolina-at-Chapel-Hill.html,www.unc.edu
36,Rockefeller University,World-University-Rankings/Rockefeller-University.html,www.rockefeller.edu
37,University of Colorado at Boulder,World-University-Rankings/University-of-Colorado-at-Boulder.html,www.colorado.edu
38,Pierre and Marie  Curie University - Paris 6,World-University-Rankings/Pierre-and-Marie--Curie-University---Paris-6.html,www.upmc.fr
39,The University of Melbourne,World-University-Rankings/The-University-of-Melbourne.html,www.unimelb.edu.au
40,The University of Edinburgh,World-University-Rankings/The-University-of-Edinburgh.html,www.ed.ac.uk
41,"University of California, Santa Barbara",World-University-Rankings/University-of-California-Santa-Barbara.html,www.ucsb.edu
42,The University of Texas Southwestern Medical Center at Dallas,World-University-Rankings/The-University-of-Texas-Southwestern-Medical-Center-at-Dallas.html,www.swmed.edu
43,Karolinska Institute,World-University-Rankings/Karolinska-Institute.html,www.ki.se
44,The University of Texas at Austin,World-University-Rankings/The-University-of-Texas-at-Austin.html,www.utexas.edu
45,University of Paris-Sud (Paris 11),World-University-Rankings/University-of-Paris-Sud-(Paris-11).html,www.u-psud.fr
46,Heidelberg University,World-University-Rankings/Heidelberg-University.html,www.uni-heidelberg.de
47,Technical University Munich,World-University-Rankings/Technical-University-Munich.html,www.tum.de
48,University of Southern California,World-University-Rankings/University-of-Southern-California.html,www.usc.edu
49,King's College London,World-University-Rankings/Kings-College-London.html,www.kcl.ac.uk
50,University of Munich,World-University-Rankings/University-of-Munich.html,www.en.lmu.de
51,"University of Maryland, College Park",World-University-Rankings/University-of-Maryland-College-Park.html,www.umd.edu
52,University of Geneva,World-University-Rankings/University-of-Geneva.html,www.unige.ch
53,University of Zurich,World-University-Rankings/University-of-Zurich.html,www.uzh.ch
54,The University of Queensland,World-University-Rankings/The-University-of-Queensland.html,www.uq.edu.au
55,University of Helsinki,World-University-Rankings/University-of-Helsinki.html,www.https:
56,University of Bristol,World-University-Rankings/University-of-Bristol.html,www.bristol.ac.uk
57,Tsinghua University,World-University-Rankings/Tsinghua-University.html,www.tsinghua.edu.cn
58,"University of California, Irvine",World-University-Rankings/University-of-California-Irvine.html,www.uci.edu
59,Uppsala University,World-University-Rankings/Uppsala-University.html,www.uu.se
60,Vanderbilt University,World-University-Rankings/Vanderbilt-University.html,www.vanderbilt.edu
61,Ghent University,World-University-Rankings/Ghent-University.html,www.ugent.be
62,McGill University,World-University-Rankings/McGill-University.html,www.mcgill.ca
63,Purdue University - West Lafayette,World-University-Rankings/Purdue-University---West-Lafayette.html,www.purdue.edu
64,Aarhus University,World-University-Rankings/Aarhus-University.html,www.au.dk
65,Utrecht University,World-University-Rankings/Utrecht-University.html,www.uu.nl
66,University of Oslo,World-University-Rankings/University-of-Oslo.html,www.uio.no
67,Carnegie Mellon University,World-University-Rankings/Carnegie-Mellon-University.html,www.cmu.edu
68,Technion-Israel Institute of Technology,World-University-Rankings/Technion-Israel-Institute-of-Technology.html,www.technion.ac.il
69,"University of Pittsburgh, Pittsburgh Campus",World-University-Rankings/University-of-Pittsburgh-Pittsburgh-Campus.html,www.pitt.edu
70,Peking University,World-University-Rankings/Peking-University.html,www.pku.edu.cn
71,Nagoya University,World-University-Rankings/Nagoya-University.html,www.nagoya-u.ac.jp
72,Rice University,World-University-Rankings/Rice-University.html,www.rice.edu
73,University of Groningen,World-University-Rankings/University-of-Groningen.html,www.rug.nl
74,Boston University,World-University-Rankings/Boston-University.html,www.bu.edu
75,"University of California, Davis",World-University-Rankings/University-of-California-Davis.html,www.ucdavis.edu
76,Pennsylvania State University - University Park,World-University-Rankings/Pennsylvania-State-University---University-Park.html,www.psu.edu
77,The Australian National University,World-University-Rankings/The-Australian-National-University.html,www.anu.edu.au
78,Monash University,World-University-Rankings/Monash-University.html,www.monash.edu.au
79,The Ohio State University - Columbus,World-University-Rankings/The-Ohio-State-University---Columbus.html,www.osu.edu
80,Stockholm University,World-University-Rankings/Stockholm-University.html,www.su.se
81,University of Sydney,World-University-Rankings/University-of-Sydney.html,www.sydney.edu.au
82,McMaster University,World-University-Rankings/McMaster-University.html,www.mcmaster.ca
83,National University of Singapore,World-University-Rankings/National-University-of-Singapore.html,www.nus.edu.sg
84,"University of California, Santa Cruz",World-University-Rankings/University-of-California-Santa-Cruz.html,www.ucsc.edu
85,Mayo Medical School,World-University-Rankings/Mayo-Medical-School.html,www.mayo.edu
86,Ecole Normale Superieure - Paris,World-University-Rankings/Ecole-Normale-Superieure---Paris.html,www.ens.fr
87,Moscow State University,World-University-Rankings/Moscow-State-University.html,www.msu.ru
88,The Hebrew University of Jerusalem,World-University-Rankings/The-Hebrew-University-of-Jerusalem.html,www.huji.ac.il
89,Brown University,World-University-Rankings/Brown-University.html,www.brown.edu
90,University of Florida,World-University-Rankings/University-of-Florida.html,www.ufl.edu
91,Swiss Federal Institute of Technology Lausanne,World-University-Rankings/Swiss-Federal-Institute-of-Technology-Lausanne.html,www.epfl.ch
92,Georgia Institute of Technology,World-University-Rankings/Georgia-Institute-of-Technology.html,www.gatech.edu
93,KU Leuven,World-University-Rankings/KU-Leuven.html,www.kuleuven.be
94,Leiden University,World-University-Rankings/Leiden-University.html,www.leiden.edu
95,Osaka University,World-University-Rankings/Osaka-University.html,www.osaka-u.ac.jp
96,"Rutgers, The State University of New Jersey - New Brunswick",World-University-Rankings/Rutgers-The-State-University-of-New-Jersey---New-Brunswick.html,www.newbrunswick.rutgers.edu
97,The University of Texas M. D. Anderson Cancer Center,World-University-Rankings/The-University-of-Texas-M-D-Anderson-Cancer-Center.html,www.mdanderson.org
98,The University of Western Australia,World-University-Rankings/The-University-of-Western-Australia.html,www.uwa.edu.au
99,University of Utah,World-University-Rankings/University-of-Utah.html,www.utah.edu
